state,county,primary_city,zip,locality type,address,phone
MN,McLeod County,Brownton,55312,County,"2391 Hennepin Ave N  Glencoe, MN 55336",320-864-1203
MN,Wright County,Buffalo,55313,County,"10 2nd St NW Rm 230  Buffalo, MN 55313-1195",763-682-7692
MN,Renville County,Buffalo Lake,55314,County,"500 E Depue Ave Ste 202  Olivia, MN 56277",320-523-2071
MN,Carver County,Carver,55315,County,"600 E Fourth St  Chaska, MN 55318-2102",952-361-1941
MN,Hennepin County,Champlin,55316,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Carver County,Chanhassen,55317,County,"600 E Fourth St  Chaska, MN 55318-2102",952-361-1941
MN,Carver County,Chaska,55318,County,"600 E Fourth St  Chaska, MN 55318-2102",952-361-1941
MN,Sherburne County,Clear Lake,55319,County,"13880 Business Center Drive NW  Elk River, MN 55330",763-765-4351
MN,Wright County,Clearwater,55320,County,"10 2nd St NW Rm 230  Buffalo, MN 55313-1195",763-682-7692
MN,Wright County,Cokato,55321,County,"10 2nd St NW Rm 230  Buffalo, MN 55313-1195",763-682-7692
MN,Carver County,Cologne,55322,County,"600 E Fourth St  Chaska, MN 55318-2102",952-361-1941
MN,Meeker County,Darwin,55324,County,"325 Sibley Ave N  Litchfield, MN 55355",320-693-5212
MN,Meeker County,Dassel,55325,County,"325 Sibley Ave N  Litchfield, MN 55355",320-693-5212
MN,Hennepin County,Dayton,55327,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Wright County,Delano,55328,County,"10 2nd St NW Rm 230  Buffalo, MN 55313-1195",763-682-7692
MN,Stearns County,Eden Valley,55329,County,"3301 County Road 138  Waite Park, MN 56387",320-656-6522
MN,Sherburne County,Elk River,55330,County,"13880 Business Center Drive NW  Elk River, MN 55330",763-765-4351
MN,Hennepin County,Excelsior,55331,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Renville County,Fairfax,55332,County,"500 E Depue Ave Ste 202  Olivia, MN 56277",320-523-2071
MN,Renville County,Franklin,55333,County,"500 E Depue Ave Ste 202  Olivia, MN 56277",320-523-2071
MN,Sibley County,Gaylord,55334,County,"400 Court Avenue  Gaylord, MN 55334-0171",507-237-4070
MN,Sibley County,Gibbon,55335,County,"400 Court Avenue  Gaylord, MN 55334-0171",507-237-4070
MN,McLeod County,Glencoe,55336,County,"2391 Hennepin Ave N  Glencoe, MN 55336",320-864-1203
MN,Dakota County,Burnsville,55337,County,"1590 Highway 55 Ste 2300  Hastings, MN 55033",651-438-4305
MN,Sibley County,Green Isle,55338,County,"400 Court Avenue  Gaylord, MN 55334-0171",507-237-4070
MN,Carver County,Hamburg,55339,County,"600 E Fourth St  Chaska, MN 55318-2102",952-361-1941
MN,Hennepin County,Hamel,55340,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Wright County,Hanover,55341,County,"10 2nd St NW Rm 230  Buffalo, MN 55313-1195",763-682-7692
MN,Renville County,Hector,55342,County,"500 E Depue Ave Ste 202  Olivia, MN 56277",320-523-2071
MN,Hennepin County,Hopkins,55343,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Hennepin County,Eden Prairie,55344,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Hennepin County,Minnetonka,55345,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Hennepin County,Eden Prairie,55346,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Hennepin County,Eden Prairie,55347,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Wright County,Howard Lake,55349,County,"10 2nd St NW Rm 230  Buffalo, MN 55313-1195",763-682-7692
MN,McLeod County,Hutchinson,55350,County,"2391 Hennepin Ave N  Glencoe, MN 55336",320-864-1203
MN,Scott County,Jordan,55352,County,"600 County Trail E Jordan, MN 55352",952-496-8560
MN,Stearns County,Kimball,55353,County,"3301 County Road 138  Waite Park, MN 56387",320-656-6522
MN,McLeod County,Lester Prairie,55354,County,"2391 Hennepin Ave N  Glencoe, MN 55336",320-864-1203
MN,Meeker County,Litchfield,55355,County,"325 Sibley Ave N  Litchfield, MN 55355",320-693-5212
MN,Hennepin County,Long Lake,55356,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Hennepin County,Loretto,55357,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Wright County,Maple Lake,55358,County,"10 2nd St NW Rm 230  Buffalo, MN 55313-1195",763-682-7692
MN,Hennepin County,Maple Plain,55359,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Carver County,Mayer,55360,County,"600 E Fourth St  Chaska, MN 55318-2102",952-361-1941
MN,Wright County,Monticello,55362,County,"10 2nd St NW Rm 230  Buffalo, MN 55313-1195",763-682-7692
MN,Wright County,Montrose,55363,County,"10 2nd St NW Rm 230  Buffalo, MN 55313-1195",763-682-7692
MN,Hennepin County,Mound,55364,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Carver County,New Germany,55367,County,"600 E Fourth St  Chaska, MN 55318-2102",952-361-1941
MN,Carver County,Norwood Young America,55368,County,"600 E Fourth St  Chaska, MN 55318-2102",952-361-1941
MN,Hennepin County,Osseo,55369,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,McLeod County,Plato,55370,County,"2391 Hennepin Ave N  Glencoe, MN 55336",320-864-1203
MN,Mille Lacs County,Princeton,55371,County,"635 2nd St SE  Milaca, MN 56353",320-983-8310
MN,Scott County,Prior Lake,55372,County,"600 County Trail E Jordan, MN 55352",952-496-8560
MN,Wright County,Rockford,55373,County,"10 2nd St NW Rm 230  Buffalo, MN 55313-1195",763-682-7692
MN,Hennepin County,Rogers,55374,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Hennepin County,Saint Bonifacius,55375,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Wright County,Saint Michael,55376,County,"10 2nd St NW Rm 230  Buffalo, MN 55313-1195",763-682-7692
MN,Scott County,Savage,55378,County,"600 County Trail E Jordan, MN 55352",952-496-8560
MN,Scott County,Shakopee,55379,County,"600 County Trail E Jordan, MN 55352",952-496-8560
MN,McLeod County,Silver Lake,55381,County,"2391 Hennepin Ave N  Glencoe, MN 55336",320-864-1203
MN,Stearns County,South Haven,55382,County,"3301 County Road 138  Waite Park, MN 56387",320-656-6522
MN,Hennepin County,Spring Park,55384,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,McLeod County,Stewart,55385,County,"2391 Hennepin Ave N  Glencoe, MN 55336",320-864-1203
MN,Carver County,Victoria,55386,County,"600 E Fourth St  Chaska, MN 55318-2102",952-361-1941
MN,Carver County,Waconia,55387,County,"600 E Fourth St  Chaska, MN 55318-2102",952-361-1941
MN,Carver County,Watertown,55388,County,"600 E Fourth St  Chaska, MN 55318-2102",952-361-1941
MN,Meeker County,Watkins,55389,County,"325 Sibley Ave N  Litchfield, MN 55355",320-693-5212
MN,Wright County,Waverly,55390,County,"10 2nd St NW Rm 230  Buffalo, MN 55313-1195",763-682-7692
MN,Hennepin County,Wayzata,55391,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,McLeod County,Winsted,55395,County,"2391 Hennepin Ave N  Glencoe, MN 55336",320-864-1203
MN,Sibley County,Winthrop,55396,County,"400 Court Avenue  Gaylord, MN 55334-0171",507-237-4070
MN,Carver County,Young America,55397,County,"600 E Fourth St  Chaska, MN 55318-2102",952-361-1941
MN,Sherburne County,Zimmerman,55398,County,"13880 Business Center Drive NW  Elk River, MN 55330",763-765-4351
MN,Hennepin County,Minneapolis,55401,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Hennepin County,Minneapolis,55402,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Hennepin County,Minneapolis,55403,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Hennepin County,Minneapolis,55404,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Hennepin County,Minneapolis,55405,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Hennepin County,Minneapolis,55406,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Hennepin County,Minneapolis,55407,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Hennepin County,Minneapolis,55408,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Hennepin County,Minneapolis,55409,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Hennepin County,Minneapolis,55410,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Hennepin County,Minneapolis,55411,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Hennepin County,Minneapolis,55412,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Hennepin County,Minneapolis,55413,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Hennepin County,Minneapolis,55414,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Hennepin County,Minneapolis,55415,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Hennepin County,Minneapolis,55416,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Hennepin County,Minneapolis,55417,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Hennepin County,Minneapolis,55418,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Hennepin County,Minneapolis,55419,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Hennepin County,Minneapolis,55420,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Anoka County,Minneapolis,55421,County,"2100 3rd Ave, Suite W130  Anoka, MN 55303-5031",763-324-1300
MN,Hennepin County,Minneapolis,55422,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Hennepin County,Minneapolis,55423,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Hennepin County,Minneapolis,55424,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Hennepin County,Minneapolis,55425,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Hennepin County,Minneapolis,55426,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Hennepin County,Minneapolis,55427,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Hennepin County,Minneapolis,55428,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Hennepin County,Minneapolis,55429,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Hennepin County,Minneapolis,55430,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Hennepin County,Minneapolis,55431,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Anoka County,Minneapolis,55432,County,"2100 3rd Ave, Suite W130  Anoka, MN 55303-5031",763-324-1300
MN,Anoka County,Minneapolis,55433,County,"2100 3rd Ave, Suite W130  Anoka, MN 55303-5031",763-324-1300
MN,Anoka County,Minneapolis,55434,County,"2100 3rd Ave, Suite W130  Anoka, MN 55303-5031",763-324-1300
MN,Hennepin County,Minneapolis,55435,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Hennepin County,Minneapolis,55436,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Hennepin County,Minneapolis,55437,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Hennepin County,Minneapolis,55438,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Hennepin County,Minneapolis,55439,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Hennepin County,Minneapolis,55441,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Hennepin County,Minneapolis,55442,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Hennepin County,Minneapolis,55443,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Hennepin County,Minneapolis,55444,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Hennepin County,Minneapolis,55445,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Hennepin County,Minneapolis,55446,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Hennepin County,Minneapolis,55447,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Anoka County,Minneapolis,55448,County,"2100 3rd Ave, Suite W130  Anoka, MN 55303-5031",763-324-1300
MN,Anoka County,Minneapolis,55449,County,"2100 3rd Ave, Suite W130  Anoka, MN 55303-5031",763-324-1300
MN,Hennepin County,Minneapolis,55450,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Hennepin County,Minneapolis,55454,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Hennepin County,Minneapolis,55455,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Wright County,Monticello,55561,County,"10 2nd St NW Rm 230  Buffalo, MN 55313-1195",763-682-7692
MN,Wright County,Monticello,55563,County,"10 2nd St NW Rm 230  Buffalo, MN 55313-1195",763-682-7692
MN,Lake County,Finland,55603,County,"601 3rd Ave  Two Harbors, MN 55616",218-834-8473
MN,Cook County,Grand Marais,55604,County,"411 W 2nd St  Grand Marais, MN 55604",218-387-3642
MN,Cook County,Grand Portage,55605,County,"411 W 2nd St  Grand Marais, MN 55604",218-387-3642
MN,Cook County,Hovland,55606,County,"411 W 2nd St  Grand Marais, MN 55604",218-387-3642
MN,Lake County,Isabella,55607,County,"601 3rd Ave  Two Harbors, MN 55616",218-834-8473
MN,Cook County,Lutsen,55612,County,"411 W 2nd St  Grand Marais, MN 55604",218-387-3642
MN,Cook County,Schroeder,55613,County,"411 W 2nd St  Grand Marais, MN 55604",218-387-3642
MN,Lake County,Silver Bay,55614,County,"601 3rd Ave  Two Harbors, MN 55616",218-834-8473
MN,Cook County,Tofte,55615,County,"411 W 2nd St  Grand Marais, MN 55604",218-387-3642
MN,Lake County,Two Harbors,55616,County,"601 3rd Ave  Two Harbors, MN 55616",218-834-8473
MN,Pine County,Askov,55704,County,"635 Northridge Dr NW Ste 240  Pine City, MN 55063",320-591-1670
MN,Carlton County,Barnum,55707,County,"301 Walnut Ave  Carlton, MN 55718",218-384-9127
MN,Itasca County,Bovey,55709,County,"123 NE 4th St  Grand Rapids, MN 55744",218-327-2849
MN,Pine County,Bruno,55712,County,"635 Northridge Dr NW Ste 240  Pine City, MN 55063",320-591-1670
MN,Carlton County,Carlton,55718,County,"301 Walnut Ave  Carlton, MN 55718",218-384-9127
MN,Carlton County,Cloquet,55720,County,"301 Walnut Ave  Carlton, MN 55718",218-384-9127
MN,Itasca County,Cohasset,55721,County,"123 NE 4th St  Grand Rapids, MN 55744",218-327-2849
MN,Carlton County,Cromwell,55726,County,"301 Walnut Ave  Carlton, MN 55718",218-384-9127
MN,Carlton County,Esko,55733,County,"301 Walnut Ave  Carlton, MN 55718",218-384-9127
MN,Pine County,Finlayson,55735,County,"635 Northridge Dr NW Ste 240  Pine City, MN 55063",320-591-1670
MN,Itasca County,Goodland,55742,County,"123 NE 4th St  Grand Rapids, MN 55744",218-327-2849
MN,Itasca County,Grand Rapids,55744,County,"123 NE 4th St  Grand Rapids, MN 55744",218-327-2849
MN,Aitkin County,Hill City,55748,County,"307 2nd St NW Rm 121  Aitkin, MN 56431",218-927-7354
MN,Carlton County,Holyoke,55749,County,"301 Walnut Ave  Carlton, MN 55718",218-384-9127
MN,Aitkin County,Jacobson,55752,County,"307 2nd St NW Rm 121  Aitkin, MN 56431",218-927-7354
MN,Pine County,Kerrick,55756,County,"635 Northridge Dr NW Ste 240  Pine City, MN 55063",320-591-1670
